Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Eastern Cape for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3360,3352,3669,3626,3526,3260,3218,3187,3278,3344
Total Sexual Crimes,8238,8626,10312,9117,9087,9456,9047,9380,9239,9567
Attempted murder,3364,3046,2525,2150,2166,1996,1941,1718,1731,1768
Assault with the intent to inflict grievous bodily harm,40010,40447,37398,35503,34571,31428,32247,30804,29407,27880
Common assault,27277,25763,22713,21230,19979,16895,17313,16587,15290,14273
Common robbery,9673,9597,8205,7735,7121,5960,5390,5567,4922,4600
Robbery with aggravating circumstances,9316,9576,9202,9262,8951,9814,9677,10448,12526,11794
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1416,1417,1310,1274,1237,1056,1125,1113,1026,1015
Malicious damage to property,15369,15170,14886,15794,14901,13630,13169,13451,12982,12760
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,7182,6415,6032,5398,5993,6212,6424,6515,6508,7539
Burglary at residential premises,33881,33364,33134,31699,29628,28572,28384,27251,26941,25902
Theft of motor vehicle and motorcycle,5496,5352,5507,5673,4740,4337,4265,3976,3883,3693
Theft out of or from motor vehicle,15434,13744,12943,11898,10118,9761,10301,11112,11822,12039
Stock-theft,11798,9038,7537,6886,7050,6808,7586,7498,7354,7163
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2231,1938,1540,1445,1441,1525,1426,1465,1462,1538
Drug-related crime,7893,9061,7511,7231,8003,8437,8946,9566,11654,12877
Driving under the influence of alcohol or drugs,4008,4356,3843,4733,6048,8929,10991,8244,7773,7610
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,57045,51271,40721,38346,35948,33648,28915,30777,29689,26822
Commercial crime,4218,4398,4498,5726,5363,6767,7795,8345,8658,8858
Shoplifting,8175,7296,6912,6799,6689,7929,7991,7103,6405,6184
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,402,529,523,608,604,706,606,527,644,695
Truck hijacking,66,41,64,23,28,30,57,27,29,15
Robbery at residential premises,1286,1077,619,345,663,1517,1606,1556,1747,1726
Robbery at non-residential premises,346,317,231,241,488,851,1273,1658,2173,1949
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1271,1312,1457,1475,1445,1265,1355,1409,1369,1232
Public violence,261,191,130,102,88,201,125,106,83,144
Crimen injuria,5346,5324,4449,4057,3591,2886,2824,2806,2755,2286
Neglect and ill-treatment of children ,610,465,477,430,382,358,356,346,268,264
Kidnapping,349,273,202,108,93,88,137,263,336,362
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Aberdeen (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,6,7,7,7,9,3,5,4,4,6
Total Sexual Crimes,6,14,15,12,19,16,9,14,7,9
Attempted murder,2,5,3,2,4,0,3,0,0,1
Assault with the intent to inflict grievous bodily harm,70,77,79,88,70,69,67,53,62,57
Common assault,47,40,44,52,45,32,31,24,19,20
Common robbery,2,4,8,8,5,3,2,5,1,0
Robbery with aggravating circumstances,0,1,1,1,0,1,2,2,3,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,0,0,0,0,0,0,2,3,0,1
Malicious damage to property,18,27,26,26,30,21,20,13,13,17
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,20,26,25,20,21,13,17,15,29,20
Burglary at residential premises,75,61,82,68,81,62,70,50,66,47
Theft of motor vehicle and motorcycle,0,0,0,0,4,0,1,1,1,2
Theft out of or from motor vehicle,14,8,10,8,7,2,4,5,3,6
Stock-theft,65,58,48,40,54,50,46,32,55,52
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,1,0,1,0,0,0,1,0,0
Drug-related crime,22,11,12,21,15,13,19,18,12,27
Driving under the influence of alcohol or drugs,7,8,2,1,6,2,6,2,0,1
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,79,48,66,55,40,43,45,31,43,31
Commercial crime,2,3,6,15,4,6,1,7,3,3
Shoplifting,0,3,3,0,0,3,2,2,1,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,1,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,1,0,1,1,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,1,0,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,15,15,12,9,15,12,12,12,14,11
Public violence,0,1,0,0,0,0,2,0,0,0
Crimen injuria,4,23,27,12,17,3,6,1,10,9
Neglect and ill-treatment of children ,0,0,0,1,0,0,0,0,0,0
Kidnapping,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Addo (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,16,17,13,14,9,10,13,14,18,11
Total Sexual Crimes,39,54,51,65,49,61,58,57,57,60
Attempted murder,47,31,28,33,40,37,28,25,36,33
Assault with the intent to inflict grievous bodily harm,230,225,243,235,182,199,191,215,196,187
Common assault,140,195,126,96,64,82,55,48,46,46
Common robbery,15,23,17,9,11,16,24,18,18,20
Robbery with aggravating circumstances,14,20,13,27,27,28,40,42,63,45
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,7,5,6,3,5,10,13,10,3
Malicious damage to property,48,52,43,52,57,52,57,24,34,42
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,12,6,13,9,8,35,90,83,43,55
Burglary at residential premises,198,165,186,175,132,226,150,173,98,158
Theft of motor vehicle and motorcycle,20,2,13,10,15,5,6,3,4,6
Theft out of or from motor vehicle,21,27,16,17,15,11,25,35,32,25
Stock-theft,47,35,26,28,34,21,41,28,24,32
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,5,4,1,7,4,2,1,7,8,1
Drug-related crime,13,22,6,21,39,58,46,13,27,40
Driving under the influence of alcohol or drugs,13,14,7,5,22,25,28,21,17,14
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,181,174,157,160,152,169,143,157,110,138
Commercial crime,4,4,6,6,5,7,3,13,7,4
Shoplifting,5,2,3,0,1,2,0,2,1,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,1,1,1,0,2,0,1,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,6,6,0,0,1,7,7,5,4,8
Robbery at non-residential premises,0,0,0,1,1,1,10,17,31,20
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,3,5,5,5,4,6,5,3,3
Public violence,0,1,0,0,1,1,4,0,0,0
Crimen injuria,65,67,24,16,12,8,10,8,11,8
Neglect and ill-treatment of children ,1,3,2,2,2,2,2,1,1,2
Kidnapping,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Adelaide (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,3,6,6,4,4,6,5,5,6,7
Total Sexual Crimes,24,27,24,18,20,13,17,18,25,18
Attempted murder,1,1,4,2,3,7,0,1,1,0
Assault with the intent to inflict grievous bodily harm,125,148,170,148,161,107,119,96,93,82
Common assault,99,133,131,102,75,56,28,45,30,24
Common robbery,15,23,15,11,13,3,5,4,15,9
Robbery with aggravating circumstances,4,6,13,13,12,14,10,5,19,16
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,3,2,6,7,4,0,8,4,5
Malicious damage to property,44,46,36,52,54,41,28,24,24,23
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,32,31,34,32,33,20,13,22,20,19
Burglary at residential premises,75,91,115,84,128,103,93,89,73,75
Theft of motor vehicle and motorcycle,5,6,5,4,1,4,3,3,3,3
Theft out of or from motor vehicle,22,24,15,19,15,6,5,7,7,12
Stock-theft,79,79,72,66,60,70,42,84,56,73
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,0,1,1,0,0,3,4,1,1
Drug-related crime,3,3,7,6,19,14,30,26,42,35
Driving under the influence of alcohol or drugs,6,5,2,7,2,2,11,3,6,9
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,90,108,85,93,101,89,62,65,76,60
Commercial crime,8,14,9,10,12,23,18,30,21,13
Shoplifting,15,6,13,6,3,0,7,2,1,4
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,0,0,0,0,0,1,0,1,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,3,3,1,1,1
Robbery at non-residential premises,0,0,0,0,2,2,2,0,1,6
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,3,1,2,4,4,2,2,1,4
Public violence,1,0,1,0,0,0,0,0,1,0
Crimen injuria,4,1,4,5,6,4,6,4,2,0
Neglect and ill-treatment of children ,0,1,2,2,4,5,3,2,1,4
Kidnapping,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Afsondering (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,7,5,17,5,9,5,12,9,6
Total Sexual Crimes,18,10,13,22,16,14,18,16,16,24
Attempted murder,3,6,3,3,3,3,2,5,6,3
Assault with the intent to inflict grievous bodily harm,68,101,77,60,72,60,81,58,72,69
Common assault,20,16,14,11,12,13,30,22,28,30
Common robbery,3,3,7,8,4,3,2,2,4,2
Robbery with aggravating circumstances,0,0,2,2,3,5,2,3,10,8
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,8,3,3,10,6,3,6,2,2,13
Malicious damage to property,11,8,9,16,9,12,6,15,18,8
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,4,1,10,0,3,3,1,1,5,10
Burglary at residential premises,29,34,39,42,34,34,32,25,34,31
Theft of motor vehicle and motorcycle,0,1,3,0,0,0,0,0,0,1
Theft out of or from motor vehicle,3,0,4,3,2,0,2,2,4,3
Stock-theft,138,105,105,156,110,124,184,129,164,163
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,10,8,4,6,4,2,1,4,3,11
Drug-related crime,29,38,42,23,19,32,53,20,26,41
Driving under the influence of alcohol or drugs,0,0,0,0,1,0,1,0,0,0
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,22,15,22,11,38,28,24,22,13,19
Commercial crime,0,0,0,2,0,1,1,2,7,2
Shoplifting,0,0,0,1,0,2,0,2,3,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,3,2,1,2,1
Robbery at non-residential premises,0,0,0,0,0,1,0,2,5,4
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,0,1,1,0,2,1,1,1,0
Public violence,0,0,0,0,0,1,1,1,0,0
Crimen injuria,1,0,4,0,1,1,4,5,5,10
Neglect and ill-treatment of children ,3,0,0,0,2,0,0,0,0,0
Kidnapping,1,1,0,0,0,0,0,0,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alexandria (EC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,2,2,4,6,5,4,5,2,5
