Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Free State Provincial Total  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,904,902,872,953,879,910,910,963,963,1023
Total Sexual Crimes,4734,4972,4559,4386,4396,4523,4581,4838,4927,5252
Attempted murder,1413,1324,1042,998,939,922,845,770,869,947
Assault with the intent to inflict grievous bodily harm,18744,17998,16895,15999,16833,15884,15745,15439,15079,15385
Common assault,26885,25197,22417,19883,19885,19605,19016,17934,18090,17716
Common robbery,5559,4867,4075,4201,4193,3557,2975,2797,2687,2708
Robbery with aggravating circumstances,3551,4532,4166,4284,4501,5164,4969,4853,5351,5809
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,532,503,443,468,432,393,400,374,432,398
Malicious damage to property,11084,10638,10293,9607,9649,9807,9156,8779,8890,8904
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,4538,4063,4107,4110,4418,5511,5197,5110,5188,5665
Burglary at residential premises,19438,17802,17507,16115,15705,16202,15825,14927,15203,17347
Theft of motor vehicle and motorcycle,3531,3236,3023,2866,2833,2635,2429,2218,2013,2028
Theft out of or from motor vehicle,9014,7357,6635,5713,4808,5209,4855,4403,5044,5656
Stock-theft,5967,4729,4435,4700,4430,5005,5033,4651,4941,4616
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,557,432,387,341,311,324,332,335,330,436
Drug-related crime,3550,4063,5074,5462,4525,4561,5110,4209,4463,6168
Driving under the influence of alcohol or drugs,978,1152,1325,1249,1447,1644,1653,1583,1523,1671
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,37819,31901,27506,24166,24165,24569,21843,19983,19690,19509
Commercial crime,2529,2561,2425,2311,2677,3250,3498,4730,7524,6540
Shoplifting,3554,3263,3279,3087,2934,3456,3597,3284,2986,3297
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,88,156,96,123,156,255,316,234,283,284
Truck hijacking,57,88,48,50,64,93,67,27,54,82
Robbery at residential premises,77,117,111,64,215,490,535,637,662,835
Robbery at non-residential premises,15,44,23,62,298,785,873,1024,1106,1152
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,760,802,785,839,874,859,789,805,814,826
Public violence,43,68,74,58,59,59,62,107,99,252
Crimen injuria,7909,7612,6097,4863,4546,4198,4086,3954,3864,3724
Neglect and ill-treatment of children ,475,412,388,370,420,404,450,347,343,311
Kidnapping,83,61,67,65,66,93,111,140,202,210
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Allanridge (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2,5,4,8,4,14,5,5,4,8
Total Sexual Crimes,42,38,15,31,38,44,28,34,24,47
Attempted murder,6,6,8,1,4,5,4,6,4,5
Assault with the intent to inflict grievous bodily harm,166,146,134,111,125,123,145,119,130,141
Common assault,174,129,117,81,101,119,115,89,86,95
Common robbery,38,34,32,25,17,21,23,13,11,10
Robbery with aggravating circumstances,9,10,12,3,9,14,11,20,15,13
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,3,2,1,3,0,0,1,2,2
Malicious damage to property,55,55,67,27,42,65,49,45,58,47
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,2,5,10,13,31,24,25,25,27,26
Burglary at residential premises,144,107,128,89,85,117,84,96,88,92
Theft of motor vehicle and motorcycle,8,2,1,2,2,1,3,0,2,3
Theft out of or from motor vehicle,10,13,9,10,5,12,10,12,22,17
Stock-theft,5,2,2,1,2,3,7,5,10,4
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,2,1,2,2,1,1,3,0,2,0
Drug-related crime,11,4,11,8,4,21,14,17,36,54
Driving under the influence of alcohol or drugs,4,8,3,3,6,4,5,6,19,9
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,181,155,123,126,146,139,124,96,137,115
Commercial crime,10,2,3,6,1,4,4,8,1,1
Shoplifting,0,0,0,0,2,0,1,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,3,1,2,3,1
Robbery at non-residential premises,0,0,1,0,1,2,0,7,3,5
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,8,4,5,7,4,4,6,6,5,5
Public violence,4,1,1,0,2,0,0,1,0,0
Crimen injuria,65,58,31,8,16,20,22,18,25,19
Neglect and ill-treatment of children ,8,5,6,9,2,2,2,8,2,2
Kidnapping,2,0,1,0,1,1,0,0,0,1
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Arlington (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,1,0,0,0,2,2,0,0,0
Total Sexual Crimes,7,4,5,2,7,3,1,8,2,8
Attempted murder,0,1,1,0,0,0,1,0,0,0
Assault with the intent to inflict grievous bodily harm,18,22,15,23,23,27,19,19,16,15
Common assault,61,47,45,35,33,33,38,32,34,17
Common robbery,3,2,2,1,2,6,1,0,0,0
Robbery with aggravating circumstances,0,1,0,3,0,2,1,1,1,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,1,2,1,0,1,0,0,0,2
Malicious damage to property,16,6,5,13,9,13,9,5,9,5
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,2,8,11,6,10,1,6,6,0,6
Burglary at residential premises,21,18,19,25,25,26,18,31,15,23
Theft of motor vehicle and motorcycle,0,0,0,3,1,0,0,0,0,1
Theft out of or from motor vehicle,5,2,1,2,2,1,2,1,1,0
Stock-theft,25,18,22,12,16,18,9,8,11,15
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,4,0,0,0,0,0,0,0
Drug-related crime,12,7,16,16,8,21,14,7,16,25
Driving under the influence of alcohol or drugs,0,0,3,0,0,3,2,2,3,3
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,33,23,27,17,23,28,18,20,28,13
Commercial crime,0,1,2,0,1,0,2,5,2,0
Shoplifting,0,2,0,2,1,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,1,0,1,1,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,0,1
Robbery at non-residential premises,0,0,0,0,0,0,0,1,1,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,3,3,4,2,5,1,3,4,1
Public violence,0,0,1,1,2,2,0,0,1,0
Crimen injuria,26,18,17,23,19,5,16,15,7,7
Neglect and ill-treatment of children ,1,1,2,1,4,3,2,2,0,5
Kidnapping,0,0,0,0,0,0,0,1,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bainsvlei (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,12,10,7,8,12,7,8,3,1,7
Total Sexual Crimes,47,35,34,34,31,40,34,31,49,44
Attempted murder,8,26,15,18,13,19,14,8,13,9
Assault with the intent to inflict grievous bodily harm,89,114,82,87,112,110,97,96,71,83
Common assault,143,132,142,127,138,147,128,160,118,118
Common robbery,11,19,13,28,14,18,12,16,16,8
Robbery with aggravating circumstances,13,5,24,12,26,22,24,9,13,17
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,3,3,3,3,4,3,3,4,1
Malicious damage to property,94,79,74,79,62,76,47,66,65,54
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,9,16,13,2,4,37,23,44,41,43
Burglary at residential premises,176,140,226,288,224,193,171,213,196,288
Theft of motor vehicle and motorcycle,66,70,51,46,77,68,65,53,41,64
Theft out of or from motor vehicle,264,376,309,157,73,78,80,69,104,97
Stock-theft,40,25,13,16,18,42,29,40,23,24
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,1,3,0,1,3,3,2,1,2
Drug-related crime,5,10,9,18,29,29,18,11,24,20
Driving under the influence of alcohol or drugs,8,4,4,7,6,7,10,14,7,10
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,319,356,330,365,278,248,338,266,285,245
Commercial crime,30,11,12,20,30,33,87,109,102,60
Shoplifting,14,5,9,10,14,2,27,16,12,11
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1,1,0,2,1,0,1,1,3,0
Truck hijacking,0,0,0,0,0,1,1,0,0,0
Robbery at residential premises,0,0,0,0,12,6,4,4,5,10
Robbery at non-residential premises,0,0,0,0,2,1,3,1,1,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,10,12,12,17,12,16,9,12,12,2
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,20,28,19,19,22,27,37,40,20,23
Neglect and ill-treatment of children ,4,1,0,1,3,2,6,1,3,0
Kidnapping,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Batho (FS)  [169]   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
" Batho, Bloemspruit and Park Road ceded Mangaung June 2004.  Batho ceded Kopanong December 2004.",,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,86,57,8,13,12,5,6,9,8,7
Total Sexual Crimes,406,213,75,37,37,50,28,44,39,49
Attempted murder,295,131,28,20,16,19,15,13,6,13
Assault with the intent to inflict grievous bodily harm,1286,618,232,205,194,180,176,187,164,166
Common assault,2149,920,286,240,217,237,171,171,154,182
Common robbery,546,322,85,66,49,43,38,25,16,28
Robbery with aggravating circumstances,403,179,56,65,39,63,73,58,63,49
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,56,24,3,6,4,8,9,6,2,6
Malicious damage to property,848,375,98,76,66,100,83,79,59,63
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,35,10,6,7,14,26,18,36,24,23
Burglary at residential premises,1263,542,135,130,100,147,117,98,107,104
Theft of motor vehicle and motorcycle,141,45,8,10,6,14,11,4,10,10
Theft out of or from motor vehicle,216,83,50,25,28,42,45,29,37,39
Stock-theft,19,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,42,18,6,6,3,2,1,3,0,7
Drug-related crime,175,44,62,150,74,65,66,42,100,159
Driving under the influence of alcohol or drugs,27,13,6,16,9,6,12,11,11,17
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1573,684,169,106,123,129,122,95,94,75
Commercial crime,38,20,3,8,5,5,2,12,19,7
Shoplifting,5,2,0,0,0,0,0,0,0,0
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,7,7,2,5,0,2,7,5,5,2
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,3,0,0,1,3,7,1,5,2,3
Robbery at non-residential premises,1,0,0,0,1,6,7,8,14,6
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,12,10,2,6,0,3,3,4,2,2
Public violence,3,3,2,0,0,0,0,0,1,0
Crimen injuria,576,213,45,43,42,33,36,37,30,45
Neglect and ill-treatment of children ,32,20,2,4,5,10,11,7,6,3
Kidnapping,2,0,0,0,1,0,4,1,1,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Bayswater (FS)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,3,2,4,3,1,2,1,0,3
Total Sexual Crimes,12,7,11,8,14,11,7,11,6,18
Attempted murder,12,5,5,7,6,7,8,3,2,4
Assault with the intent to inflict grievous bodily harm,30,19,24,28,35,26,19,17,13,16
Common assault,87,83,114,93,87,80,85,67,70,70
