Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Gauteng for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4433,3818,3621,3884,3766,3963,3444,3257,3012,2997
Total Sexual Crimes,16402,16333,15676,15124,15398,18176,15645,13987,12419,12288
Attempted murder,8588,6661,5761,5741,5313,5207,4800,4104,3474,3609
Assault with the intent to inflict grievous bodily harm,56962,54138,51371,50084,48076,48257,49082,46600,43357,40793
Common assault,77389,72484,63012,58915,58000,58566,58956,54476,49226,45115
Common robbery,32307,30641,25504,25307,22664,20599,20107,18207,16012,15547
Robbery with aggravating circumstances,63639,57628,52437,55329,51280,51251,47289,40052,35323,35869
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2013,1985,2003,2099,1864,1747,1597,1624,1539,1287
Malicious damage to property,47633,45445,44237,43655,42433,43657,44142,41017,37474,36015
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,14981,12986,13274,14722,15321,17563,17904,16757,16019,15582
Burglary at residential premises,84643,77383,75243,67886,63799,69300,74902,70794,64714,68544
Theft of motor vehicle and motorcycle,41584,39738,41667,42117,40296,38923,36337,32278,27945,27574
Theft out of or from motor vehicle,53990,47638,46208,39791,36560,35891,39133,37443,39228,42110
Stock-theft,896,682,630,610,655,798,886,711,663,778
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4968,3974,3388,3920,3486,4040,4113,3665,3923,3713
Drug-related crime,9428,10722,14202,12582,12742,13574,14729,16457,25949,38159
Driving under the influence of alcohol or drugs,6275,6619,7277,7539,9833,13150,14910,21417,20761,21778
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,192673,169992,136435,130983,123559,123478,117226,116518,114410,109942
Commercial crime,24714,23337,24368,26869,26986,30757,34095,34756,31153,30808
Shoplifting,18920,17946,18627,18944,20466,24846,27764,24767,22427,22313
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,8914,7230,7250,7337,7489,7662,7444,5936,5000,4952
Truck hijacking,472,469,438,544,775,906,860,600,443,524
Robbery at residential premises,5383,5618,6208,7776,7377,8190,8051,7039,6336,6607
Robbery at non-residential premises,2338,2116,3150,4505,5113,6244,6379,5553,5116,5010
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2542,2706,2873,3119,3048,2897,2741,2579,2505,2399
Public violence,165,167,225,186,197,462,311,234,311,426
Crimen injuria,11041,10080,8235,6817,6244,5816,7016,8040,5125,3935
Neglect and ill-treatment of children ,1589,1348,1201,1144,1035,1000,1057,973,787,723
Kidnapping,1065,922,856,949,952,1066,1167,1374,1343,1529
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Actonville (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,33,23,20,21,15,22,28,17,16,11
Total Sexual Crimes,91,62,82,93,71,65,69,56,66,39
Attempted murder,51,38,25,33,29,35,23,12,13,11
Assault with the intent to inflict grievous bodily harm,428,303,286,340,331,395,297,239,209,188
Common assault,365,283,202,206,206,189,211,159,136,131
Common robbery,159,99,99,140,150,122,59,49,33,26
Robbery with aggravating circumstances,235,225,194,196,184,193,133,91,78,93
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,7,11,9,11,7,16,13,10,8,8
Malicious damage to property,171,117,121,166,168,177,141,116,102,103
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,17,20,13,7,21,13,26,18,16,49
Burglary at residential premises,217,241,229,182,206,142,161,165,156,153
Theft of motor vehicle and motorcycle,95,86,95,68,89,40,76,46,63,77
Theft out of or from motor vehicle,103,89,69,99,101,96,152,60,62,72
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,23,25,10,21,10,24,43,30,38,23
Drug-related crime,32,29,55,36,30,63,64,90,92,174
Driving under the influence of alcohol or drugs,11,20,28,20,42,53,43,62,60,53
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,391,281,152,217,258,239,260,194,177,197
Commercial crime,30,14,16,14,35,28,45,47,38,49
Shoplifting,10,10,5,9,7,0,5,6,7,8
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,53,32,39,31,37,26,31,26,14,13
Truck hijacking,0,0,0,1,0,0,0,0,0,0
Robbery at residential premises,23,26,39,19,12,27,10,3,11,15
Robbery at non-residential premises,21,23,12,13,23,32,13,16,19,20
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1,1,7,2,6,4,2,1,5,5
Public violence,0,0,1,2,0,3,0,0,1,1
Crimen injuria,38,23,10,7,16,9,11,10,13,9
Neglect and ill-treatment of children ,9,2,3,4,2,1,2,1,2,2
Kidnapping,3,6,4,4,9,3,6,3,2,6
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Akasia (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
Akasia was previously named Rosslyn,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,30,34,29,46,51,51,37,37,28,32
Total Sexual Crimes,193,201,208,182,164,194,209,187,215,201
Attempted murder,93,78,56,79,61,87,94,46,43,43
Assault with the intent to inflict grievous bodily harm,544,572,579,530,543,531,632,685,613,609
Common assault,572,610,470,451,421,507,574,471,478,436
Common robbery,263,252,269,301,268,219,234,243,210,226
Robbery with aggravating circumstances,549,441,494,524,605,554,589,501,427,508
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,44,48,54,46,49,38,41,37,39,30
Malicious damage to property,491,456,414,435,457,516,564,543,573,513
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,137,117,59,99,161,163,208,250,198,158
Burglary at residential premises,1071,1074,879,941,964,1110,1290,1233,1163,1463
Theft of motor vehicle and motorcycle,411,388,537,623,432,462,398,437,397,376
Theft out of or from motor vehicle,343,341,235,260,227,200,296,369,396,443
Stock-theft,10,6,1,1,4,4,1,2,14,3
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,38,28,16,25,12,36,26,18,24,20
Drug-related crime,28,32,48,38,27,42,69,57,169,252
Driving under the influence of alcohol or drugs,63,57,67,57,56,68,56,127,112,100
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1618,1600,1294,1537,1709,1571,1362,1484,1818,1611
Commercial crime,204,154,132,160,206,226,260,265,242,244
Shoplifting,69,76,109,119,120,152,171,270,213,207
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,84,59,75,84,89,79,67,69,61,56
Truck hijacking,5,0,2,4,4,6,12,5,2,2
Robbery at residential premises,92,75,90,66,79,112,161,118,77,96
Robbery at non-residential premises,24,18,25,29,57,40,64,75,67,56
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,63,99,68,71,72,68,73,55,58,57
Public violence,0,1,4,2,3,3,2,1,4,2
Crimen injuria,103,126,73,41,43,44,51,46,66,37
Neglect and ill-treatment of children ,13,11,12,12,6,3,8,3,5,4
Kidnapping,8,3,5,5,8,8,14,17,8,26
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alberton (GP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,18,23,28,25,26,14,23,25,23,6
Total Sexual Crimes,73,97,75,75,66,63,74,83,87,59
Attempted murder,49,56,34,36,43,46,28,36,20,20
Assault with the intent to inflict grievous bodily harm,384,396,344,270,236,191,242,279,237,223
Common assault,484,466,417,365,388,506,421,339,369,325
Common robbery,167,170,129,134,117,127,110,111,96,105
Robbery with aggravating circumstances,586,542,450,461,455,452,513,396,311,339
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,11,15,13,9,6,8,7,7,9,13
Malicious damage to property,645,585,492,428,436,481,492,429,462,364
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,321,292,377,489,405,442,437,272,204,234
Burglary at residential premises,778,717,894,748,582,689,804,511,469,594
Theft of motor vehicle and motorcycle,866,822,858,770,603,881,941,669,561,527
Theft out of or from motor vehicle,669,708,634,481,365,433,358,356,330,354
Stock-theft,0,2,0,1,1,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,28,23,35,38,40,34,26,23,32,56
Drug-related crime,45,30,55,75,60,95,60,43,83,116
Driving under the influence of alcohol or drugs,79,81,141,142,111,187,182,82,62,49
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,2141,1870,1546,1336,1299,1217,1277,1143,1101,1076
Commercial crime,404,356,355,372,418,546,514,550,454,436
Shoplifting,318,290,330,347,317,475,365,393,342,237
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,99,88,98,72,87,57,92,80,86,68
Truck hijacking,23,18,10,13,19,17,34,31,30,34
Robbery at residential premises,40,33,30,66,47,48,59,32,20,41
Robbery at non-residential premises,73,72,82,92,95,99,90,64,45,50
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,41,43,40,42,46,35,32,42,33,31
Public violence,1,0,1,3,0,21,7,20,12,47
Crimen injuria,158,145,106,115,97,81,87,109,109,85
Neglect and ill-treatment of children ,9,5,5,3,10,5,7,6,8,3
Kidnapping,8,4,10,8,6,6,9,8,7,8
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alexandra (GP)  [169] [P]  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,122,83,67,89,101,93,84,74,58,76
Total Sexual Crimes,282,291,308,236,211,275,229,243,216,282
Attempted murder,174,126,140,118,99,105,105,106,70,94
Assault with the intent to inflict grievous bodily harm,1362,1388,1010,885,722,685,850,848,861,812
Common assault,1295,1396,1301,1190,1237,1195,1101,786,879,835
Common robbery,253,268,208,221,172,209,204,213,191,183
Robbery with aggravating circumstances,589,574,661,565,532,520,412,402,430,584
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,37,32,18,22,25,25,25,26,30,24
Malicious damage to property,513,521,531,444,409,437,466,433,420,443
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,33,38,44,54,69,50,58,100,74,91
Burglary at residential premises,444,343,357,356,405,486,449,455,356,416
Theft of motor vehicle and motorcycle,110,147,144,111,174,229,141,138,126,137
Theft out of or from motor vehicle,182,152,131,123,136,192,201,166,183,188
Stock-theft,0,0,0,0,0,0,1,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,133,112,60,90,38,78,104,109,82,77
Drug-related crime,59,56,134,45,43,36,59,115,172,191
Driving under the influence of alcohol or drugs,24,62,50,47,62,72,50,123,160,215
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1343,1247,900,862,832,839,849,749,739,752
Commercial crime,45,58,43,54,53,90,117,140,160,205
Shoplifting,16,13,42,107,117,181,229,177,164,190
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,53,15,40,23,56,49,55,56,34,55
Truck hijacking,1,0,1,1,2,0,1,0,1,1
Robbery at residential premises,40,46,51,45,35,55,27,47,49,47
Robbery at non-residential premises,11,16,20,22,16,31,26,45,71,106
OTHER CRIME CATEGORIES,,,,,,,,,,
