Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  KwaZulu-Natal  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5247,5001,4910,5002,4702,4747,4224,3749,3422,3629
Total Sexual Crimes,11378,12122,11932,11649,11355,13279,13269,12793,12288,12405
Attempted murder,7253,5979,5302,5245,4940,4922,4614,3915,3666,3855
Assault with the intent to inflict grievous bodily harm,35023,33898,31170,30792,30514,30119,30884,30582,29608,28897
Common assault,38315,37852,34059,31739,29306,29906,32980,32271,31983,30172
Common robbery,14968,14085,11767,10612,9229,8575,7985,7320,7637,8228
Robbery with aggravating circumstances,27836,25207,24668,26206,24278,25856,23239,19573,18469,19972
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1633,1470,1274,1281,1320,1200,1202,1141,1074,975
Malicious damage to property,21388,20214,19039,18237,16972,16347,16792,16574,15583,15797
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,10224,8990,9005,9441,10211,11173,11314,10984,10958,11971
Burglary at residential premises,47894,43122,40844,39655,37083,37650,40393,39550,41120,45483
Theft of motor vehicle and motorcycle,15060,14703,15013,14079,12191,12136,11453,10587,10106,9788
Theft out of or from motor vehicle,27595,21340,18554,15605,12793,12971,14221,15945,15960,18064
Stock-theft,8684,7816,7479,7469,7600,7541,7967,7402,7743,7214
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,4955,4880,4320,4614,4325,4236,4968,5072,4696,4444
Drug-related crime,13599,19290,23206,26228,24100,23819,28693,32457,37415,42167
Driving under the influence of alcohol or drugs,4307,6313,7845,9784,12596,12837,11935,10110,12867,15112
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,82237,68628,55031,50965,47365,49179,46882,50277,53157,50907
Commercial crime,8655,8441,8270,10613,10794,12970,13775,15276,13681,14458
Shoplifting,13080,11677,10504,10449,10638,12746,15402,12815,12402,13017
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,2693,2703,3079,3562,3889,4062,3715,2619,2229,2427
Truck hijacking,147,138,91,85,133,133,127,94,64,82
