Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Limpopo for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,690,733,688,747,696,751,762,665,735,702
Total Sexual Crimes,4491,5070,4671,4780,4528,4675,4905,4883,5686,6467
Attempted murder,1254,1032,823,829,722,701,726,652,704,713
Assault with the intent to inflict grievous bodily harm,19016,17756,15946,15752,13670,13221,13321,12934,14701,13755
Common assault,17998,18148,14679,13178,11024,9753,8939,8120,10518,9596
Common robbery,4399,4881,4638,4515,3760,3332,3287,3130,3793,3352
Robbery with aggravating circumstances,3361,3285,3020,3216,2447,2815,2968,2766,3675,3935
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,711,762,689,699,573,584,616,563,634,699
Malicious damage to property,7981,7874,7814,7606,6885,6562,6085,5775,6990,6701
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,5506,4994,4782,4763,5401,6343,6253,5876,6613,6508
Burglary at residential premises,13701,13569,12839,12427,11857,12398,13980,13420,15255,14877
Theft of motor vehicle and motorcycle,1706,1645,1464,1567,1215,1084,1090,891,1024,987
Theft out of or from motor vehicle,5615,4862,4719,4063,3275,3035,3473,3472,4777,4666
Stock-theft,1869,1642,1338,1734,1341,1453,1552,1663,1897,1711
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,599,563,447,422,473,461,461,404,415,498
Drug-related crime,1706,1786,1977,2178,3198,3316,4837,4634,5254,7530
Driving under the influence of alcohol or drugs,542,796,834,1116,1204,1660,2223,2729,2638,2835
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,26433,23667,20627,20192,19366,17958,16056,16181,19680,17730
Commercial crime,1992,1984,1950,2316,2367,2827,3008,3162,3861,4445
Shoplifting,4184,4088,3855,3736,3502,4319,4469,3910,3510,3824
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,135,203,167,196,203,289,251,177,163,225
Truck hijacking,18,37,8,15,14,27,19,20,19,34
Robbery at residential premises,150,160,168,162,319,514,584,530,754,767
Robbery at non-residential premises,191,128,75,83,314,529,630,756,1131,1222
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,912,1009,1046,1045,1134,1226,1260,1216,1288,1152
Public violence,33,28,39,49,31,46,73,65,62,83
Crimen injuria,3757,3663,2977,2417,1821,1608,1479,1545,2090,1746
Neglect and ill-treatment of children ,381,328,277,269,232,235,218,245,242,239
Kidnapping,82,112,91,103,83,91,128,143,181,189
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Alldays (LI)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
