Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Mpumalanga  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1056,1099,882,869,835,902,878,722,729,696
Total Sexual Crimes,4375,4674,4756,4631,4169,4695,4603,4442,4092,4267
Attempted murder,1805,1568,1343,1305,1271,1265,1227,820,773,730
Assault with the intent to inflict grievous bodily harm,20093,19978,18671,18005,16849,17062,15864,14436,13123,11737
Common assault,15019,15736,14196,13522,12202,11491,11203,10340,9266,8295
Common robbery,4980,5474,5191,5177,4752,4376,3967,3546,3379,3180
Robbery with aggravating circumstances,6947,6947,6607,6669,5907,6952,6611,5550,5720,5237
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,647,579,626,669,588,639,575,405,335,318
Malicious damage to property,8734,8903,8752,8687,8241,8713,8210,7206,6590,6219
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,3351,2992,2932,3490,4273,5329,5539,5235,5490,5416
Burglary at residential premises,22434,21216,20360,19503,18855,19839,19350,18115,18239,18883
Theft of motor vehicle and motorcycle,3514,3640,3318,3183,2956,3199,3248,2752,2730,2516
Theft out of or from motor vehicle,7618,6802,6553,5753,5286,5592,6427,6700,7482,7444
Stock-theft,3741,2796,2362,2539,2950,3155,3330,2907,2912,2707
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,790,792,579,585,524,589,621,544,705,802
Drug-related crime,1314,1714,1794,2068,1770,1642,2041,3178,4153,5844
Driving under the influence of alcohol or drugs,1416,1332,1132,1334,1987,1918,2122,2698,3757,4025
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,38364,33462,28854,26652,24502,24794,23367,23667,22775,21800
Commercial crime,2750,2474,2630,2860,3778,4082,4683,4609,5581,6696
Shoplifting,4168,3600,3365,3725,3552,3635,3947,3621,3195,3255
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,341,485,515,597,664,984,709,427,369,360
Truck hijacking,90,79,87,90,151,172,197,163,149,143
Robbery at residential premises,244,340,378,540,862,1188,1300,1045,1189,1123
Robbery at non-residential premises,120,89,77,195,305,818,978,1105,1388,1310
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,990,1086,1124,1112,1312,1329,1344,1217,1155,1215
Public violence,49,48,63,50,61,75,153,76,78,119
Crimen injuria,2858,2909,2763,2384,1995,1730,1595,1295,1198,926
Neglect and ill-treatment of children ,309,331,246,203,166,170,164,139,140,118
Kidnapping,149,137,115,115,107,164,194,234,210,255
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Acornhoek (MP)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,27,25,21,30,31,23,28,22,26,19
Total Sexual Crimes,90,114,127,114,109,121,136,132,152,127
Attempted murder,18,28,27,15,29,15,25,16,20,9
Assault with the intent to inflict grievous bodily harm,324,374,387,389,394,364,348,359,344,299
Common assault,124,193,173,167,158,118,132,145,123,99
Common robbery,81,89,100,115,100,85,75,36,25,25
Robbery with aggravating circumstances,95,106,129,82,107,101,114,109,130,67
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,6,11,21,9,12,12,10,1,5,3
Malicious damage to property,96,106,149,132,170,145,141,134,95,97
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,58,76,76,60,126,127,83,80,99,117
Burglary at residential premises,352,361,360,405,354,374,305,349,257,260
Theft of motor vehicle and motorcycle,16,16,17,23,19,14,15,15,17,14
Theft out of or from motor vehicle,54,43,25,32,30,29,32,21,30,35
Stock-theft,28,17,15,23,71,39,34,21,14,17
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,14,23,19,14,8,14,13,7,19,17
Drug-related crime,36,42,23,15,34,19,25,123,177,108
Driving under the influence of alcohol or drugs,17,4,1,0,0,6,2,4,20,34
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,229,198,225,223,257,291,229,262,272,280
Commercial crime,15,14,23,18,13,111,52,26,47,68
Shoplifting,78,73,84,76,76,82,92,65,65,39
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,4,0,3,7,14,16,20,3,10,9
Truck hijacking,0,0,0,0,0,1,1,1,0,0
Robbery at residential premises,9,4,12,9,15,18,34,28,38,12
Robbery at non-residential premises,2,0,1,3,5,22,26,18,40,14
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,22,20,19,17,23,13,17,21,27,21
Public violence,0,0,0,0,0,0,1,4,1,1
Crimen injuria,14,23,18,31,14,10,4,1,7,9
