Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Northern Cape   for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,431,408,393,417,422,411,381,342,368,412
Total Sexual Crimes,2191,2212,1993,1957,1749,1917,1845,1868,1738,1844
Attempted murder,1477,1351,1058,1011,775,731,711,649,549,543
Assault with the intent to inflict grievous bodily harm,13510,13188,11507,10876,9898,9961,9533,9002,8432,8679
Common assault,10562,9326,6827,6311,5431,5606,5574,5099,5077,4905
Common robbery,2529,2660,1898,1522,1337,1303,1345,1176,950,1072
Robbery with aggravating circumstances,1000,1095,1131,1096,1175,1219,1037,891,970,1241
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,283,242,209,215,169,178,168,178,186,195
Malicious damage to property,4766,4478,3757,3490,3418,3261,3105,2795,2811,3121
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,2516,2370,1997,2075,1956,2058,2237,2036,2253,2362
Burglary at residential premises,7331,7353,6102,5506,4924,5416,5550,4995,4866,5723
Theft of motor vehicle and motorcycle,480,398,314,299,260,269,242,246,301,314
Theft out of or from motor vehicle,3917,3543,2741,2650,2195,2114,1867,2111,2268,2576
Stock-theft,2742,2087,1686,1511,1472,1600,1769,1589,1485,1651
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,148,122,89,76,90,74,50,61,56,65
Drug-related crime,2142,2550,2085,2114,2201,1933,2371,2418,2672,2861
Driving under the influence of alcohol or drugs,855,1027,959,1018,1434,1244,1285,1053,868,829
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,15192,13590,9077,7937,7484,8100,7434,6404,6736,7017
Commercial crime,943,955,730,844,949,995,1144,1141,1134,890
Shoplifting,2673,2783,2426,2121,1903,2018,2204,1640,1481,1318
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,10,6,4,4,5,7,13,14,9,28
Truck hijacking,1,0,1,3,1,0,1,4,4,4
Robbery at residential premises,15,12,5,10,12,45,64,41,89,104
Robbery at non-residential premises,7,6,8,16,54,121,147,157,211,215
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,309,302,295,322,299,264,281,292,303,342
Public violence,25,35,22,22,32,24,29,29,37,68
Crimen injuria,3618,2842,1589,1236,890,751,758,742,761,810
Neglect and ill-treatment of children ,451,347,272,240,232,213,197,128,93,103
Kidnapping,32,32,25,17,27,29,21,36,43,25
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Aggeneys (NC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,0,0,1,1,1,0,1,0,1,0
Total Sexual Crimes,2,1,0,1,3,0,0,2,4,4
Attempted murder,1,2,3,1,1,0,0,2,0,3
Assault with the intent to inflict grievous bodily harm,6,13,4,10,5,7,7,3,5,8
Common assault,25,11,25,14,10,7,11,11,6,14
Common robbery,2,1,1,1,1,0,0,0,0,0
Robbery with aggravating circumstances,0,2,1,0,0,0,0,0,1,0
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,0,0,0,0,0,0,0,0,0
Malicious damage to property,7,9,1,2,1,12,3,7,10,3
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,3,5,7,6,2,5,7,5,4,1
Burglary at residential premises,4,4,3,1,1,3,4,1,1,3
Theft of motor vehicle and motorcycle,0,0,2,1,1,1,0,2,1,0
Theft out of or from motor vehicle,1,2,3,2,0,1,0,0,1,0
Stock-theft,0,0,0,0,1,2,0,0,2,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,0,0,0,0,0,0,0,0,0
Drug-related crime,8,14,5,2,2,11,1,1,4,1
