Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  North West  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,864,800,760,823,825,858,743,744,802,876
Total Sexual Crimes,4519,4610,4546,4588,4513,5021,4759,4706,4972,5521
Attempted murder,1289,1065,843,817,825,788,839,703,765,918
Assault with the intent to inflict grievous bodily harm,19812,18097,15505,15114,14778,14759,14556,14082,14230,14248
Common assault,15158,14612,11424,10196,9559,9336,8893,7786,7667,7234
Common robbery,6193,5337,4058,3390,3351,3091,3008,2741,2479,2426
Robbery with aggravating circumstances,4153,5376,5550,5270,5218,5592,5422,5080,5381,5293
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,604,506,473,528,584,525,420,503,511,459
Malicious damage to property,9260,8192,7612,7033,7168,7152,7044,6396,6498,6398
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,4547,4288,4294,4321,4783,5370,5361,4987,5255,5403
Burglary at residential premises,15899,15378,15506,13732,13626,14319,14893,14777,14595,15755
Theft of motor vehicle and motorcycle,2926,2834,2863,3004,2780,2571,2673,2458,2423,2262
Theft out of or from motor vehicle,7526,6243,6089,4930,4848,5051,5218,5452,5519,5681
Stock-theft,3844,2765,2441,2599,2488,2776,3148,2728,3002,3036
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,679,549,451,425,480,482,390,375,479,469
Drug-related crime,3117,4383,5053,5759,6610,7109,7704,7166,7678,9157
Driving under the influence of alcohol or drugs,1548,1749,1787,1905,2240,2042,2176,1619,1720,2038
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,34908,29956,24350,22608,21941,21743,19136,19299,18606,17658
Commercial crime,2355,2130,2204,2332,2713,4460,5147,4481,4423,6844
Shoplifting,3233,3021,2905,2678,2458,2988,2760,2480,2460,2267
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,195,221,226,261,268,252,273,236,236,230
Truck hijacking,34,62,82,73,56,49,70,47,28,22
Robbery at residential premises,260,325,429,540,758,919,899,828,894,1022
Robbery at non-residential premises,116,154,195,393,732,1015,1130,1162,1348,1232
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,773,867,850,949,989,982,967,939,893,900
Public violence,40,57,52,39,94,70,91,69,103,190
Crimen injuria,3938,3560,2587,2216,2084,2049,1921,1685,1674,1481
Neglect and ill-treatment of children ,242,213,227,221,213,281,270,256,232,218
Kidnapping,101,77,68,91,91,149,130,183,203,282
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Amalia (NW)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,1,1,0,1,0,2,0,1,0,2
Total Sexual Crimes,13,13,11,9,16,9,18,8,5,11
Attempted murder,2,3,6,2,4,2,2,1,2,2
Assault with the intent to inflict grievous bodily harm,73,81,81,76,78,52,43,41,43,49
Common assault,47,29,25,16,25,19,18,13,12,11
Common robbery,9,5,4,4,5,2,1,4,3,1
Robbery with aggravating circumstances,4,7,6,2,2,6,10,5,9,2
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,3,3,3,0,1,2,1,4,2,3
Malicious damage to property,15,14,15,9,17,16,15,17,14,7
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,9,6,6,4,4,3,4,7,5,5
Burglary at residential premises,34,44,31,52,50,46,25,21,22,28
Theft of motor vehicle and motorcycle,3,0,2,1,2,0,1,1,0,1
Theft out of or from motor vehicle,5,2,4,2,3,4,4,0,1,1
Stock-theft,79,61,25,41,31,28,30,42,20,20
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,0,0,0,0,0,0,1,0,0
Drug-related crime,8,14,11,12,4,6,7,5,1,1
Driving under the influence of alcohol or drugs,2,11,6,2,0,2,3,1,0,0
