Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Western Cape  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,2839,2680,2750,2881,2836,2346,2274,2311,2300,2580
Total Sexual Crimes,9751,10498,9631,8969,8623,8772,9678,9299,9153,8776
Attempted murder,3633,2490,1856,2046,1844,1766,1707,2162,2328,3280
Assault with the intent to inflict grievous bodily harm,36912,33869,28479,25905,24915,23086,24061,24723,24714,24519
Common assault,52339,48739,38226,35083,32663,31680,34410,33278,34553,35603
Common robbery,14943,13283,9387,8697,8578,8439,9473,10399,11121,12427
Robbery with aggravating circumstances,13855,13143,12945,15226,14555,12729,12543,12250,13788,16738
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,967,720,595,625,629,524,598,632,681,718
Malicious damage to property,32032,29871,27875,29227,27301,25132,24431,23334,24403,25198
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,11784,8950,7944,10118,10639,10450,11544,11582,11757,13184
Burglary at residential premises,54069,46977,41000,43142,42376,42920,43300,43801,44598,49599
Theft of motor vehicle and motorcycle,13847,12311,12795,13510,12955,10814,10039,9098,8672,9208
Theft out of or from motor vehicle,41273,36983,34648,33626,31778,29924,35367,36453,38375,41422
Stock-theft,1732,1120,834,780,792,907,1109,995,952,1018
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1912,2247,2252,2526,2346,2314,2181,2551,2395,2907
Drug-related crime,19940,30432,34788,41067,45985,52781,60409,70588,77069,82062
Driving under the influence of alcohol or drugs,4957,6583,8114,9583,11616,12741,15644,17244,17534,15167
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,121789,113814,90028,93314,90966,90655,86583,84989,92689,91431
Commercial crime,7713,7651,7139,7819,9659,11366,11697,11888,12035,12030
Shoplifting,13901,12851,12618,13950,14850,18836,20500,18763,16982,15834
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,1015,901,965,911,923,698,575,457,542,789
Truck hijacking,16,16,10,9,23,27,14,17,31,37
Robbery at residential premises,319,307,434,658,796,974,1167,1215,1344,1647
Robbery at non-residential premises,109,84,110,197,635,1058,1058,1309,1567,1934
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,1252,1407,1396,1437,1443,1280,1135,1126,1050,1047
Public violence,268,285,308,406,257,467,335,402,262,369
Crimen injuria,14200,12522,8574,6805,6737,6185,7135,7337,8185,8491
Neglect and ill-treatment of children ,1762,1437,1103,914,978,883,847,667,542,476
Kidnapping,450,290,216,201,188,169,232,392,517,585
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Albertinia (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,4,3,3,7,3,3,3,5,1,4
Total Sexual Crimes,13,15,8,16,12,13,18,13,17,23
Attempted murder,0,0,0,0,1,2,5,1,2,5
Assault with the intent to inflict grievous bodily harm,76,64,38,66,49,48,50,41,57,50
Common assault,87,75,59,72,87,69,66,49,58,94
Common robbery,2,1,2,1,3,4,1,2,3,5
Robbery with aggravating circumstances,1,1,0,0,0,0,1,1,2,2
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,2,1,0,2,0,0,2,0,0,2
Malicious damage to property,29,20,13,14,13,12,11,15,26,29
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,25,26,22,5,9,13,8,9,16,19
Burglary at residential premises,69,40,26,23,12,23,33,25,32,59
Theft of motor vehicle and motorcycle,0,2,1,5,2,8,2,0,1,0
Theft out of or from motor vehicle,10,13,4,6,9,4,6,1,6,6
Stock-theft,9,12,6,5,5,6,8,7,14,12
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,3,7,3,2,2,5,3,3,2,2
Drug-related crime,34,70,67,57,64,104,187,230,284,251
Driving under the influence of alcohol or drugs,10,13,20,25,28,38,66,30,30,32
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,73,71,31,48,51,43,57,47,62,91
Commercial crime,9,6,4,6,9,7,3,9,9,6
Shoplifting,17,5,4,2,2,4,7,3,2,2
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,0,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,2,0
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,4,1,4,3,7,3,4,5,3,2
Public violence,0,0,0,0,0,0,0,0,0,0
Crimen injuria,11,12,4,14,15,15,6,12,10,27
Neglect and ill-treatment of children ,1,4,0,0,0,0,0,0,0,0
Kidnapping,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Ashton (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,9,7,11,13,8,5,10,13,7,5
Total Sexual Crimes,34,40,33,37,29,30,38,48,50,40
Attempted murder,4,1,1,1,2,1,3,1,3,1
Assault with the intent to inflict grievous bodily harm,165,151,125,121,123,107,156,140,151,152
Common assault,205,157,96,131,123,86,177,137,197,168
Common robbery,12,3,2,4,12,8,11,12,11,11
Robbery with aggravating circumstances,7,1,6,6,5,7,5,13,7,7
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,1,0,2,5,0,2,2,4,5
Malicious damage to property,83,67,48,46,48,28,51,52,84,67
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,78,38,26,38,33,28,21,27,18,43
Burglary at residential premises,129,92,52,44,66,51,51,54,80,81
Theft of motor vehicle and motorcycle,4,8,0,4,10,2,4,7,2,6
Theft out of or from motor vehicle,34,29,15,12,24,14,23,21,45,47
Stock-theft,7,4,7,4,4,4,5,6,5,3
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,1,1,9,0,0,1,1,0,0,1
Drug-related crime,45,83,102,129,142,152,144,163,186,195
Driving under the influence of alcohol or drugs,9,10,8,16,15,24,42,121,60,65
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,130,78,62,71,55,61,111,131,158,146
Commercial crime,2,6,1,7,2,4,2,6,4,3
Shoplifting,10,12,1,1,4,10,2,3,1,3
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,1,0,0
Robbery at residential premises,0,0,0,0,0,0,1,1,1,5
Robbery at non-residential premises,0,0,0,0,0,0,0,6,3,2
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,2,7,7,8,8,9,5,2,5,6
Public violence,0,1,2,1,1,0,0,0,0,6
Crimen injuria,10,10,5,13,12,13,13,3,29,26
Neglect and ill-treatment of children ,1,1,0,1,0,0,2,1,0,2
Kidnapping,0,2,0,0,0,0,1,1,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Athlone (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,23,14,27,15,28,16,20,12,12,20
Total Sexual Crimes,101,103,91,80,74,72,88,78,95,74
Attempted murder,29,35,49,24,28,25,51,48,35,65
Assault with the intent to inflict grievous bodily harm,220,147,140,194,170,185,222,178,215,214
Common assault,487,466,405,418,374,353,453,401,370,456
Common robbery,352,302,224,239,265,274,262,227,303,255
Robbery with aggravating circumstances,260,255,259,325,245,237,215,212,262,418
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,6,2,7,4,5,6,8,5,9
Malicious damage to property,359,397,374,439,403,380,450,460,474,458
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,185,136,185,175,188,103,166,142,193,268
Burglary at residential premises,541,561,485,572,536,450,583,617,570,545
Theft of motor vehicle and motorcycle,241,238,277,344,321,307,268,253,207,195
Theft out of or from motor vehicle,746,831,829,832,712,771,819,768,860,896
Stock-theft,0,0,0,0,0,0,0,0,0,0
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,27,14,47,35,37,30,31,57,37,52
Drug-related crime,279,345,412,498,455,519,736,1019,1136,990
Driving under the influence of alcohol or drugs,74,93,116,116,129,134,94,192,153,131
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1547,1476,1281,1419,1481,1451,1388,1478,1841,1714
Commercial crime,85,162,176,247,260,300,318,239,208,263
Shoplifting,52,63,187,443,567,844,707,831,393,553
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,6,15,20,23,24,24,7,10,10,27
Truck hijacking,0,0,0,0,0,3,2,1,0,0
Robbery at residential premises,1,2,6,5,6,2,8,16,25,24
Robbery at non-residential premises,1,1,0,0,4,14,19,13,12,30
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,18,14,18,6,15,12,12,13,4,10
Public violence,3,2,1,3,0,3,1,2,3,4
Crimen injuria,111,99,74,66,80,43,72,62,71,74
Neglect and ill-treatment of children ,15,7,15,2,2,4,6,3,6,0
Kidnapping,2,6,8,5,1,2,1,6,6,7
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Atlantis (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,35,35,20,32,43,26,22,26,19,38
Total Sexual Crimes,150,189,185,137,130,149,131,127,143,88
Attempted murder,58,61,30,55,63,69,43,49,43,51
Assault with the intent to inflict grievous bodily harm,538,440,365,296,299,323,353,259,275,253
Common assault,1030,868,529,475,482,492,628,457,461,458
Common robbery,202,157,66,97,118,113,193,158,184,203
Robbery with aggravating circumstances,176,121,94,112,138,153,155,125,136,111
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,10,10,6,4,11,6,14,9,8,7
Malicious damage to property,505,388,320,349,366,348,346,276,293,275
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,155,111,84,185,176,156,158,133,131,125
Burglary at residential premises,632,549,481,613,659,581,498,410,381,424
Theft of motor vehicle and motorcycle,41,27,20,45,38,30,29,27,33,27
Theft out of or from motor vehicle,433,320,273,277,256,296,338,289,320,377
Stock-theft,35,17,7,11,10,6,23,23,18,24
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,27,53,52,42,61,92,60,57,55,52
Drug-related crime,515,606,529,620,482,529,845,963,1267,1426
Driving under the influence of alcohol or drugs,53,49,84,67,56,71,138,149,273,244
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,1487,1328,645,1383,1240,1209,1009,822,858,854
Commercial crime,26,27,38,25,83,71,48,55,66,54
Shoplifting,192,113,105,90,101,241,233,138,93,101
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,3,7,2,1,3,6,1,0,1,1
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,1,0,0,0,4,7,2,5,3,7
Robbery at non-residential premises,0,1,1,0,0,8,7,5,11,7
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,16,16,7,15,9,15,21,11,5,8
Public violence,4,3,1,0,2,4,6,6,0,1
Crimen injuria,316,231,120,90,119,108,117,51,83,73
Neglect and ill-treatment of children ,37,21,12,15,9,19,20,9,6,5
Kidnapping,5,6,5,3,1,0,2,3,6,2
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Barrydale (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
Crime Category,April 2003 to March 2004,April 2004 to March 2005,April 2005 to March 2006,April 2006 to March 2007,April 2007 to March 2008 ,April 2008 to March 2009 ,April 2009 to March 2010,April 2010 to March 2011,April 2011 to March 2012,April 2012 to March 2013
CONTACT CRIME (CRIMES AGAINST THE PERSON),,,,,,,,,,
Murder,5,3,4,4,1,1,1,1,4,1
Total Sexual Crimes,13,21,12,24,16,27,21,29,13,20
Attempted murder,0,2,3,0,0,0,2,0,1,4
Assault with the intent to inflict grievous bodily harm,59,75,80,60,83,85,85,82,60,66
Common assault,61,55,47,51,71,54,59,63,80,69
Common robbery,2,0,2,0,1,0,0,2,3,0
Robbery with aggravating circumstances,1,1,0,0,0,0,0,2,0,1
CONTACT-RELATED CRIMES,,,,,,,,,,
Arson,1,2,0,1,0,1,1,3,0,5
Malicious damage to property,20,15,34,31,36,37,20,21,30,22
PROPERTY-RELATED CRIMES,,,,,,,,,,
Burglary at non-residential premises,16,5,6,3,2,9,11,6,9,8
Burglary at residential premises,30,34,34,14,22,36,34,36,22,24
Theft of motor vehicle and motorcycle,1,0,0,0,2,0,2,1,1,0
Theft out of or from motor vehicle,9,2,3,3,4,4,6,1,1,2
Stock-theft,8,5,9,5,5,4,6,4,2,4
CRIMES HEAVILY DEPENDENT ON POLICE ACTION FOR DETECTION,,,,,,,,,,
Illegal possession of firearms and ammunition,0,2,2,1,3,2,0,1,1,1
Drug-related crime,49,59,70,86,123,156,190,179,135,147
Driving under the influence of alcohol or drugs,3,5,5,8,20,18,25,57,30,25
OTHER SERIOUS CRIMES,,,,,,,,,,
All theft not mentioned elsewhere,39,32,25,30,28,45,37,33,34,44
Commercial crime,0,0,2,2,3,3,4,1,3,2
Shoplifting,11,2,7,4,5,2,3,5,1,1
SUBCATEGORIES OF AGGRAVATED ROBBERY FORMING PART OF AGGRAVATED ROBBERY ABOVE,,,,,,,,,,
Carjacking,0,0,0,0,0,0,0,0,0,0
Truck hijacking,0,0,0,0,0,0,0,0,0,0
Robbery at residential premises,0,0,0,0,0,0,0,2,0,0
Robbery at non-residential premises,0,0,0,0,0,0,0,0,0,1
OTHER CRIME CATEGORIES,,,,,,,,,,
Culpable homicide,3,3,1,4,2,1,2,3,5,1
Public violence,0,0,1,0,0,1,0,1,0,3
Crimen injuria,4,3,5,5,9,8,4,4,6,27
Neglect and ill-treatment of children ,0,1,0,0,0,0,1,0,0,2
Kidnapping,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Crime Research and Statistics -South African Police Service,,,,,,,,,,
,,,,,,,,,,
Crime in  Beaufort West (WC)  for April to March 2003/2004 - 2012/2013,,,,,,,,,,
,,,,,,,,,,
-,,,,,,,,,,
,,,,,,,,,,
